,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
413,Pavilosta,38,LV,80,56.8879,21.1859,39.11,21.54
414,Savannakhet,6,LA,79,16.566,104.751,63.93,6.26
415,Tugdan,100,PH,77,12.3134,122.0853,77.79,20.18
416,Musoma,75,TZ,78,-1.5,33.8,71.62,0.0
417,Usinsk,100,RU,95,65.9939,57.5281,13.23,13.2
418,Tonekabon,100,IR,92,36.8163,50.8738,49.95,1.99
419,Nekhayevskiy,100,RU,96,50.4106,41.7561,31.08,11.16
420,Narsaq,100,GL,90,60.9167,-46.05,26.82,5.37
421,Tingo Maria,20,PE,73,-9.2895,-76.0088,75.51,3.44
422,Emba,98,KZ,93,48.8264,58.1442,12.58,3.96
423,Lazaro Cardenas,39,MX,65,17.9583,-102.2,75.43,4.34
424,Kavaratti,8,IN,73,10.5669,72.642,81.99,4.74
425,Muncar,100,ID,87,-8.4333,114.3333,76.66,2.64
426,Beatrice,0,US,73,40.2681,-96.747,22.17,16.11
427,Burgeo,100,CA,68,47.6167,-57.6152,32.41,20.42
428,Camocim,99,BR,53,-2.9022,-40.8411,89.01,11.83
429,Deputatskiy,100,RU,93,69.3,139.9,-17.79,4.14
430,Yazykovo,7,RU,95,55.2199,56.1353,2.8,7.52
431,Tilichiki,0,RU,80,60.4667,166.1,1.42,11.12
432,Ketchikan,75,US,93,55.3422,-131.6461,37.87,6.91
433,Mbandaka,66,CD,48,0.0487,18.2603,86.52,1.05
434,Aranos,63,NA,16,-24.1333,19.1167,96.6,8.14
435,Waingapu,100,ID,82,-9.6567,120.2641,78.94,7.76
436,Bereda,56,ES,100,43.2686,-7.5406,56.41,4.54
437,Bardiyah,8,LY,66,31.7561,25.0865,65.01,12.44
438,Isabela,100,PH,83,6.7085,121.9711,78.1,2.57
439,Snasa,100,NO,95,64.2457,12.3778,35.01,13.71
440,Eyl,28,SO,67,7.9803,49.8164,76.51,15.19
441,Resistencia,100,AR,88,-27.4606,-58.9839,69.85,17.27
442,Cap Malheureux,2,MU,65,-19.9842,57.6142,80.47,5.01
443,Severnoye,100,RU,89,56.3491,78.3619,11.61,5.39
444,Boa Vista,75,BR,65,2.8197,-60.6733,82.38,13.8
445,Sao Joao Da Barra,100,BR,83,-21.6403,-41.0511,80.69,6.89
446,Kabin Buri,51,TH,65,13.9511,101.7177,70.36,4.07
447,Newcastle,4,AU,90,-32.9272,151.7765,69.71,5.75
448,Great Falls,20,US,49,47.5002,-111.3008,49.39,18.41
449,Doba,11,TD,13,8.65,16.85,92.7,5.46
450,Zhuanghe,0,CN,72,39.7008,122.9911,16.97,6.42
451,Yumen,100,CN,51,40.2833,97.2,16.72,9.24
452,Pacific Grove,100,US,92,36.6177,-121.9166,61.41,24.0
453,Comodoro Rivadavia,0,AR,19,-45.8667,-67.5,64.26,12.66
454,Aldan,47,RU,97,58.6031,125.3894,-28.34,3.83
455,Springfield,0,US,83,37.2153,-93.2982,16.99,12.66
456,Anton Lizardo,96,MX,74,19.05,-95.9833,67.21,12.93
457,Ereymentau,42,KZ,93,51.6199,73.1033,9.82,6.98
458,Sur,18,OM,73,22.5667,59.5289,74.71,11.54
459,Dakar,0,SN,61,14.6937,-17.4441,81.48,9.22
460,Amalapuram,24,IN,91,16.5833,82.0167,74.41,3.42
461,Guerrero Negro,28,MX,56,27.9769,-114.0611,60.46,6.73
462,Beloha,40,MG,72,-25.1667,45.05,80.83,8.52
463,Mnogovershinnyy,49,RU,86,53.9353,139.9242,-9.15,4.47
464,Lerwick,62,GB,53,60.1545,-1.1494,30.2,5.19
465,Podgornoye,100,RU,93,51.735,39.1496,32.22,17.9
466,Leninskoye,95,KZ,64,41.7589,69.3864,37.54,3.33
467,Luanshya,57,ZM,82,-13.1367,28.4166,72.09,1.99
468,Dicabisagan,100,PH,87,17.0818,122.4157,71.64,7.78
469,Meadow Lake,56,US,57,34.8014,-106.5436,42.69,5.68
470,Omboue,79,GA,75,-1.5746,9.2618,82.76,9.53
471,Amapa,100,BR,94,1.0,-52.0,71.31,2.68
472,Ucluelet,100,CA,94,48.9329,-125.5528,49.08,1.01
473,Saint-Ambroise,100,CA,84,48.5501,-71.3324,9.57,6.46
474,Progreso,2,MX,59,21.2833,-89.6667,68.11,12.88
475,Valparaiso,0,CL,59,-33.0393,-71.6273,71.24,8.05
476,Entre Rios,100,BR,57,-11.9419,-38.0844,83.62,6.58
477,Chicama,92,PE,59,-7.8447,-79.1469,68.54,6.98
478,Khani,99,GE,96,41.9563,42.9566,38.77,1.14
479,Makakilo City,0,US,81,21.3469,-158.0858,72.68,8.05
480,Diffa,3,NE,17,13.3154,12.6113,78.64,17.43
481,Lishan,100,CN,50,31.8576,113.2951,38.82,3.4
482,Elko,100,US,86,41.0002,-115.5012,41.23,10.0
483,Beyneu,78,KZ,82,45.3167,55.2,27.45,6.17
484,Fukue,8,JP,60,32.6881,128.8419,50.14,11.97
485,Yavoriv,48,UA,77,49.9386,23.3825,37.89,15.86
486,Bintulu,20,MY,100,3.1667,113.0333,75.61,0.0
487,Murdochville,100,CA,78,48.9583,-65.5006,11.28,7.23
488,Sibolga,100,ID,90,1.7427,98.7792,77.0,1.74
489,Hervey Bay,60,AU,70,-25.2986,152.8535,72.97,15.75
490,Yar-Sale,99,RU,93,66.8333,70.8333,5.02,11.99
491,Pinotepa Nacional,1,MX,47,16.3167,-98.0167,78.24,2.55
492,Cedar City,0,US,61,37.6775,-113.0619,44.4,18.41
493,Chatakonda,70,IN,65,17.55,80.65,79.3,6.44
494,Grindavik,75,IS,93,63.8424,-22.4338,28.35,11.5
495,Kurilsk,98,RU,84,45.2333,147.8833,31.57,13.8
496,Itaqui,100,BR,79,-29.1253,-56.5531,69.94,5.88
497,Jutai,70,BR,53,-5.1833,-68.9,87.94,3.53
498,Prainha,48,BR,45,-1.8,-53.48,90.5,6.67
499,Cururupu,68,BR,62,-1.8283,-44.8683,85.78,7.23
500,Megion,68,RU,100,61.0296,76.1136,14.02,6.17
501,Conde,75,BR,65,-7.2597,-34.9075,83.66,12.66
502,Baft,55,IR,63,29.234,56.6057,39.92,9.57
503,Biak,100,ID,79,-0.9131,122.8766,78.1,2.42
504,Nuuk,75,GL,54,64.1835,-51.7216,25.41,11.5
505,Lethem,84,GY,56,3.3803,-59.7968,85.68,12.24
506,Yangambi,100,CD,44,0.8102,24.4336,86.77,2.33
507,Umea,100,SE,93,63.8284,20.2597,22.93,0.0
508,Arman,1,RU,80,59.7,150.1667,-1.16,11.5
509,Le Mars,0,US,86,42.7942,-96.1656,20.77,19.57
510,Alto Araguaia,100,BR,82,-17.3147,-53.2153,75.51,10.0
511,Kununurra,100,AU,94,-15.7667,128.7333,80.58,4.61
512,Christchurch,97,NZ,87,-43.5333,172.6333,57.47,2.3
513,Khandyga,100,RU,100,62.6667,135.6,-40.9,2.1
514,Conceicao Da Barra,65,BR,58,-18.5933,-39.7322,83.14,7.27
515,Gizo,100,SB,80,-8.103,156.8419,81.59,13.22
516,Wencheng,89,CN,46,33.0559,113.7978,34.39,1.95
517,Asfi,16,MA,54,32.2994,-9.2372,68.27,10.18
518,Nesbyen,9,NO,91,60.5681,9.1027,16.84,5.99
519,Harper,50,LR,62,4.375,-7.7169,85.42,13.76
520,Lexington,100,US,82,37.9887,-84.4777,31.08,4.61
521,Buraydah,85,SA,35,26.326,43.975,59.45,16.42
522,Lodwar,100,KE,32,3.1191,35.5973,91.02,12.41
523,Caceres,6,ES,66,39.522,-6.3748,60.71,1.88
524,Faanui,17,PF,75,-16.4833,-151.75,80.65,14.2
525,Sestri Levante,30,IT,78,44.2732,9.3968,62.22,3.0
526,Bandarbeyla,3,SO,68,9.4942,50.8122,76.55,12.12
527,Abu Kamal,11,SY,49,34.4506,40.9171,57.88,7.54
528,Akyab,55,MM,68,20.15,92.9,73.18,9.89
529,Den Helder,75,NL,93,52.9599,4.7593,46.38,25.01
530,General Pico,30,AR,15,-35.6566,-63.7568,95.76,2.51
531,Adre,1,TD,14,13.4667,22.2,77.4,12.62
532,Salinopolis,42,BR,68,-0.6136,-47.3561,84.11,7.83
533,Florianopolis,20,BR,69,-27.6146,-48.5012,79.56,12.66
534,Nijar,0,ES,35,36.9665,-2.206,69.44,11.5
